"Subject_ID" "Activity" "Measurement" "Average"
"1" 1 "Walking" "angle(tBodyAccJerkMean),gravityMean)" 0.00301717333807107
"2" 1 "Walking" "angle(tBodyAccMean,gravity)" 0.00951661932233503
"3" 1 "Walking" "angle(tBodyGyroJerkMean,gravityMean)" -0.02826997277022
"4" 1 "Walking" "angle(tBodyGyroMean,gravityMean)" 0.0285330228170897
"5" 1 "Walking" "angle(X,gravityMean)" -0.766510032419628
"6" 1 "Walking" "angle(Y,gravityMean)" 0.224123668798646
"7" 1 "Walking" "angle(Z,gravityMean)" 0.0450362936804112
"8" 1 "Walking" "fBodyAcc-mean()-X" -0.279793049433164
"9" 1 "Walking" "fBodyAcc-mean()-Y" -0.0258449143381387
"10" 1 "Walking" "fBodyAcc-mean()-Z" -0.384937743818951
"11" 1 "Walking" "fBodyAcc-meanFreq()-X" -0.241934536738579
"12" 1 "Walking" "fBodyAcc-meanFreq()-Y" 0.0765625777637225
"13" 1 "Walking" "fBodyAcc-meanFreq()-Z" 0.0851392019896971
"14" 1 "Walking" "fBodyAcc-std()-X" -0.329265450884433
"15" 1 "Walking" "fBodyAcc-std()-Y" -0.0637409150581049
"16" 1 "Walking" "fBodyAcc-std()-Z" -0.352577619777462
"17" 1 "Walking" "fBodyAccJerk-mean()-X" -0.267798407655854
"18" 1 "Walking" "fBodyAccJerk-mean()-Y" -0.142974516560949
"19" 1 "Walking" "fBodyAccJerk-mean()-Z" -0.489085917585448
"20" 1 "Walking" "fBodyAccJerk-meanFreq()-X" -0.233514258409509
"21" 1 "Walking" "fBodyAccJerk-meanFreq()-Y" -0.353247809723029
"22" 1 "Walking" "fBodyAccJerk-meanFreq()-Z" -0.222782572999848
"23" 1 "Walking" "fBodyAccJerk-std()-X" -0.224926100928866
"24" 1 "Walking" "fBodyAccJerk-std()-Y" -0.0574309918169205
"25" 1 "Walking" "fBodyAccJerk-std()-Z" -0.546966749576988
"26" 1 "Walking" "fBodyAccMag-mean()" -0.253959893285448
"27" 1 "Walking" "fBodyAccMag-meanFreq()" 0.237551580740677
"28" 1 "Walking" "fBodyAccMag-std()" -0.488183799120135
"29" 1 "Walking" "fBodyBodyAccJerkMag-mean()" -0.177256477884941
"30" 1 "Walking" "fBodyBodyAccJerkMag-meanFreq()" 0.0936984404900508
"31" 1 "Walking" "fBodyBodyAccJerkMag-std()" -0.185888662812995
"32" 1 "Walking" "fBodyBodyGyroJerkMag-mean()" -0.501417505711371
"33" 1 "Walking" "fBodyBodyGyroJerkMag-meanFreq()" 0.168193200284924
"34" 1 "Walking" "fBodyBodyGyroJerkMag-std()" -0.520262495986802
"35" 1 "Walking" "fBodyBodyGyroMag-mean()" -0.408032854891574
"36" 1 "Walking" "fBodyBodyGyroMag-meanFreq()" 0.214074996977716
"37" 1 "Walking" "fBodyBodyGyroMag-std()" -0.495678487460237
"38" 1 "Walking" "fBodyGyro-mean()-X" -0.358399542158037
"39" 1 "Walking" "fBodyGyro-mean()-Y" -0.374048783049695
"40" 1 "Walking" "fBodyGyro-mean()-Z" -0.324989271578003
"41" 1 "Walking" "fBodyGyro-meanFreq()-X" -0.048337580131489
"42" 1 "Walking" "fBodyGyro-meanFreq()-Y" -0.0690643860606261
"43" 1 "Walking" "fBodyGyro-meanFreq()-Z" -0.0379994760822504
"44" 1 "Walking" "fBodyGyro-std()-X" -0.530733020331641
"45" 1 "Walking" "fBodyGyro-std()-Y" -0.337913562952961
"46" 1 "Walking" "fBodyGyro-std()-Z" -0.452393059177665
"47" 1 "Walking" "tBodyAcc-mean()-X" 0.27665569394247
"48" 1 "Walking" "tBodyAcc-mean()-Y" -0.0181113636435516
"49" 1 "Walking" "tBodyAcc-mean()-Z" -0.109241018979695
"50" 1 "Walking" "tBodyAcc-std()-X" -0.313832266464975
"51" 1 "Walking" "tBodyAcc-std()-Y" -0.00826212475465313
"52" 1 "Walking" "tBodyAcc-std()-Z" -0.329028720364569
"53" 1 "Walking" "tBodyAccJerk-mean()-X" 0.0733132439849069
"54" 1 "Walking" "tBodyAccJerk-mean()-Y" 0.0129223610014721
"55" 1 "Walking" "tBodyAccJerk-mean()-Z" 0.000362649599153976
"56" 1 "Walking" "tBodyAccJerk-std()-X" -0.211824709266497
"57" 1 "Walking" "tBodyAccJerk-std()-Y" -0.0719967165954822
"58" 1 "Walking" "tBodyAccJerk-std()-Z" -0.518678935177665
"59" 1 "Walking" "tBodyAccJerkMag-mean()" -0.221782942849931
"60" 1 "Walking" "tBodyAccJerkMag-std()" -0.178199804266514
"61" 1 "Walking" "tBodyAccMag-mean()" -0.17779403863354
"62" 1 "Walking" "tBodyAccMag-std()" -0.333734092395262
"63" 1 "Walking" "tBodyGyro-mean()-X" -0.0430765898869543
"64" 1 "Walking" "tBodyGyro-mean()-Y" -0.0655117241257411
"65" 1 "Walking" "tBodyGyro-mean()-Z" 0.0906326662511168
"66" 1 "Walking" "tBodyGyro-std()-X" -0.4883884322978
"67" 1 "Walking" "tBodyGyro-std()-Y" -0.34710994177978
"68" 1 "Walking" "tBodyGyro-std()-Z" -0.375975126808799
"69" 1 "Walking" "tBodyGyroJerk-mean()-X" -0.0882233677358714
"70" 1 "Walking" "tBodyGyroJerk-mean()-Y" -0.0443491090478849
"71" 1 "Walking" "tBodyGyroJerk-mean()-Z" -0.0560641442810322
"72" 1 "Walking" "tBodyGyroJerk-std()-X" -0.38018139707445
"73" 1 "Walking" "tBodyGyroJerk-std()-Y" -0.499255378021997
"74" 1 "Walking" "tBodyGyroJerk-std()-Z" -0.454100422351269
"75" 1 "Walking" "tBodyGyroJerkMag-mean()" -0.456287031211506
"76" 1 "Walking" "tBodyGyroJerkMag-std()" -0.493670176672081
"77" 1 "Walking" "tBodyGyroMag-mean()" -0.293198446413536
"78" 1 "Walking" "tBodyGyroMag-std()" -0.396113273432995
"79" 1 "Walking" "tGravityAcc-mean()-X" 0.938502494094755
"80" 1 "Walking" "tGravityAcc-mean()-Y" -0.204631188061591
"81" 1 "Walking" "tGravityAcc-mean()-Z" -0.0331357995316074
"82" 1 "Walking" "tGravityAcc-std()-X" -0.977664477901861
"83" 1 "Walking" "tGravityAcc-std()-Y" -0.968175786751269
"84" 1 "Walking" "tGravityAcc-std()-Z" -0.957957440693739
"85" 1 "Walking" "tGravityAccMag-mean()" -0.17779403863354
"86" 1 "Walking" "tGravityAccMag-std()" -0.333734092395262
"87" 1 "Walking_Upstairs" "angle(tBodyAccJerkMean),gravityMean)" -0.0610838413018868
"88" 1 "Walking_Upstairs" "angle(tBodyAccMean,gravity)" 0.0960860761792453
"89" 1 "Walking_Upstairs" "angle(tBodyGyroJerkMean,gravityMean)" 0.0656835692641509
"90" 1 "Walking_Upstairs" "angle(tBodyGyroMean,gravityMean)" -0.194699963113208
"91" 1 "Walking_Upstairs" "angle(X,gravityMean)" -0.647195664339623
"92" 1 "Walking_Upstairs" "angle(Y,gravityMean)" 0.334763277358491
"93" 1 "Walking_Upstairs" "angle(Z,gravityMean)" 0.0741663682075472
"94" 1 "Walking_Upstairs" "fBodyAcc-mean()-X" -0.404321784150943
"95" 1 "Walking_Upstairs" "fBodyAcc-mean()-Y" -0.190976720811321
"96" 1 "Walking_Upstairs" "fBodyAcc-mean()-Z" -0.433349702075472
"97" 1 "Walking_Upstairs" "fBodyAcc-meanFreq()-X" -0.418735000377359
"98" 1 "Walking_Upstairs" "fBodyAcc-meanFreq()-Y" -0.160697213516981
"99" 1 "Walking_Upstairs" "fBodyAcc-meanFreq()-Z" -0.520114793584906
"100" 1 "Walking_Upstairs" "fBodyAcc-std()-X" -0.337428188679245
"101" 1 "Walking_Upstairs" "fBodyAcc-std()-Y" 0.0217695106566038
"102" 1 "Walking_Upstairs" "fBodyAcc-std()-Z" 0.0859565543849057
"103" 1 "Walking_Upstairs" "fBodyAccJerk-mean()-X" -0.479875245660377
"104" 1 "Walking_Upstairs" "fBodyAccJerk-mean()-Y" -0.41344458754717
"105" 1 "Walking_Upstairs" "fBodyAccJerk-mean()-Z" -0.685474353962264
"106" 1 "Walking_Upstairs" "fBodyAccJerk-meanFreq()-X" -0.377023128301887
"107" 1 "Walking_Upstairs" "fBodyAccJerk-meanFreq()-Y" -0.509495531698113
"108" 1 "Walking_Upstairs" "fBodyAccJerk-meanFreq()-Z" -0.551104284150943
"109" 1 "Walking_Upstairs" "fBodyAccJerk-std()-X" -0.461907025849057
"110" 1 "Walking_Upstairs" "fBodyAccJerk-std()-Y" -0.381777065283019
"111" 1 "Walking_Upstairs" "fBodyAccJerk-std()-Z" -0.726040200754717
"112" 1 "Walking_Upstairs" "fBodyAccMag-mean()" -0.352395944716981
"113" 1 "Walking_Upstairs" "fBodyAccMag-meanFreq()" -0.0977433496415094
"114" 1 "Walking_Upstairs" "fBodyAccMag-std()" -0.416260101509434
"115" 1 "Walking_Upstairs" "fBodyBodyAccJerkMag-mean()" -0.44265216245283
"116" 1 "Walking_Upstairs" "fBodyBodyAccJerkMag-meanFreq()" 0.085352409154717
"117" 1 "Walking_Upstairs" "fBodyBodyAccJerkMag-std()" -0.533059853773585
"118" 1 "Walking_Upstairs" "fBodyBodyGyroJerkMag-mean()" -0.634665082075472
"119" 1 "Walking_Upstairs" "fBodyBodyGyroJerkMag-meanFreq()" 0.114277342454717
"120" 1 "Walking_Upstairs" "fBodyBodyGyroJerkMag-std()" -0.693930521509434
"121" 1 "Walking_Upstairs" "fBodyBodyGyroMag-mean()" -0.325961457396226
"122" 1 "Walking_Upstairs" "fBodyBodyGyroMag-meanFreq()" -0.219303376110566
"123" 1 "Walking_Upstairs" "fBodyBodyGyroMag-std()" -0.182985518264151
"124" 1 "Walking_Upstairs" "fBodyGyro-mean()-X" -0.492611667924528
"125" 1 "Walking_Upstairs" "fBodyGyro-mean()-Y" -0.319474609056604
"126" 1 "Walking_Upstairs" "fBodyGyro-mean()-Z" -0.453597213018868
"127" 1 "Walking_Upstairs" "fBodyGyro-meanFreq()-X" -0.187450247737736
"128" 1 "Walking_Upstairs" "fBodyGyro-meanFreq()-Y" -0.473574786603774
"129" 1 "Walking_Upstairs" "fBodyGyro-meanFreq()-Z" -0.133373904258491
"130" 1 "Walking_Upstairs" "fBodyGyro-std()-X" -0.565892490754717
"131" 1 "Walking_Upstairs" "fBodyGyro-std()-Y" 0.151538905566038
"132" 1 "Walking_Upstairs" "fBodyGyro-std()-Z" -0.57170784
"133" 1 "Walking_Upstairs" "tBodyAcc-mean()-X" 0.255461689622641
"134" 1 "Walking_Upstairs" "tBodyAcc-mean()-Y" -0.0239531492643396
"135" 1 "Walking_Upstairs" "tBodyAcc-mean()-Z" -0.0973020020943396
"136" 1 "Walking_Upstairs" "tBodyAcc-std()-X" -0.35470802509434
